Date,Close
11/18/2014,71.6
11/19/2014,71.7
11/20/2014,71.75
11/21/2014,72.1
11/24/2014,71.75
11/25/2014,71.6
11/26/2014,71.85
11/27/2014,72.15
11/28/2014,72.55
12/1/2014,72.9
12/2/2014,72.9
12/3/2014,72.3
12/4/2014,72.1
12/5/2014,72.5
12/8/2014,72.35
12/9/2014,71.65
12/10/2014,71.5
12/11/2014,71.7
12/12/2014,70.55
12/15/2014,69.1
12/16/2014,70.1
12/17/2014,70
12/18/2014,71.4
12/19/2014,72.25
12/22/2014,72.65
12/23/2014,73
12/29/2014,73.25
12/30/2014,72.95
1/5/2015,71.8
1/6/2015,71.3
1/7/2015,71.55
1/8/2015,72.85
1/9/2015,72.65
1/12/2015,73.25
1/13/2015,74.4
1/14/2015,74.15
1/15/2015,69.55
1/16/2015,64.8
1/19/2015,67.1
1/20/2015,66.9
1/21/2015,66
1/22/2015,66.3
1/23/2015,68.4
1/26/2015,69.2
1/27/2015,70.45
1/28/2015,69.5
1/29/2015,70.8
1/30/2015,70.45
2/2/2015,71.1
2/3/2015,70.95
2/4/2015,71.7
2/5/2015,71.25
2/6/2015,71.05
2/9/2015,71.15
2/10/2015,71.45
2/11/2015,70.9
2/12/2015,70.6
2/13/2015,70.3
2/16/2015,70.55
2/17/2015,71.2
2/18/2015,71.1
2/19/2015,72
2/20/2015,71.9
2/23/2015,73.1
2/24/2015,73.4
2/25/2015,73.5
2/26/2015,74.6
2/27/2015,74.4
3/2/2015,74.8
3/3/2015,74.6
3/4/2015,75.4
3/5/2015,75.85
3/6/2015,76.15
3/9/2015,75.9
3/10/2015,75.3
3/11/2015,75.3
3/12/2015,75.1
3/13/2015,75.4
3/16/2015,75.9
3/17/2015,75.7
3/18/2015,76.2
3/19/2015,76.55
3/20/2015,76.5
3/23/2015,75.95
3/24/2015,75.15
3/25/2015,74
3/26/2015,73.2
3/27/2015,73.1
3/30/2015,74.25
3/31/2015,73.4
4/1/2015,73.1
4/2/2015,73.15
4/7/2015,74.1
4/8/2015,74.3
4/9/2015,75.15
4/10/2015,75.9
4/13/2015,75.55
4/14/2015,75.55
4/15/2015,76
4/16/2015,76.6
4/17/2015,75.95
4/20/2015,74
4/21/2015,74.3
4/22/2015,74.25
4/23/2015,74.25
4/24/2015,74.5
4/27/2015,75
4/28/2015,74.7
4/29/2015,73.2
4/30/2015,72.9
5/4/2015,73
5/5/2015,72.25
5/6/2015,71.15
5/7/2015,71.35
5/8/2015,72.55
5/11/2015,72.65
5/12/2015,71.8
5/13/2015,71.7
5/15/2015,71.85
5/18/2015,72.3
5/19/2015,73.4
5/20/2015,73.3
5/21/2015,73.4
5/22/2015,73.45
5/26/2015,72.95
5/27/2015,73.65
5/28/2015,73.75
5/29/2015,72.9
6/1/2015,72.85
6/2/2015,72.15
6/3/2015,71.6
6/4/2015,71.2
6/5/2015,70.1
6/8/2015,69.8
6/9/2015,69.3
6/10/2015,69.75
6/11/2015,70.2
6/12/2015,69.5
6/15/2015,69.2
6/16/2015,69.4
6/17/2015,69
6/18/2015,69.05
6/19/2015,68.95
6/22/2015,69.9
6/23/2015,70.5
6/24/2015,70.05
6/25/2015,69.75
6/26/2015,69.8
